subject_nr	trial_nb	label	PW_code_left	PW_code_right	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
29	7	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	1289.866238
3	10	a_fish	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	520.76754
39	6	a_fish	a_frac_alv_NV	i_fric_alv_NV	None	x	_s_s	i-a	x	x	x	x	x	2500.042219
47	5	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	35.44396036
53	8	a_fish	i_fric_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	515.939449
55	8	a_fish	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	1605.49732
59	11	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	197.4474655
67	5	a_fish	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	1724.984493
7	7	a_fish	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	176.9050692
71	8	a_fish	a_frac_alv_NV	i_fric_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	594.4557264
73	9	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	239.3993977
1	0	a_harmless_animal	y_occ_bi_NV	i_fric_ld_NV	None	x	x	x	x	x	x	x	x	2500.019368
13	2	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	1655.619073
15	1	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	129.9996987
16	1	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1689.559071
18	1	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	912.9497134
2	0	a_large_animal	a_occ_vel_V	y_fric_alv_V	a_occ_vel_V	agag	x	x	g	a	plosive	posterior	voiced	2264.996572
22	3	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	765.829379
23	2	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	841.6835319
3	0	an_attractive_animal	a_frac_uvu	a_occ_alv_V	None	x	x	x	x	x	x	x	x	2500.023672
29	1	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1990.483717
4	0	a_bird	u_occ_alv_V	u_fric_alv_NV	u_occ_alv_V	udud	x	x	d	u	plosive	medium	voiced	1039.731409
31	1	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_occ_alv_V	adad	x	x	d	a	plosive	medium	voiced	1356.231911
32	2	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	1621.786481
37	3	an_attractive_animal	a_frac_uvu	a_occ_alv_V	a_frac_uvu	a?a?	x	x	?	a	?	?	?	2434.942637
39	1	an_attractive_animal	a_occ_alv_V	a_frac_uvu	a_frac_uvu	a?a?	x	x	?	a	?	?	?	159.0926585
